text,true_label,pred_label
"Am I the only Russian kid at this school?. I feel like there is no actual way to find fellow students with Russian heritage here at State, but I know we exist. Sadly over two and a half years I have only met less than ten of us. Once I met a guy with a ""победа"" watch and that basically summed up freshman year for me. This is a calling for anyone who wants to listen to awful accordion music and/or drink Stoli from the freezer.",18-29,13-17
"For Those About To Mod: WE SALUTE YOU!. The good news is that DA:I is moddable! ::yay!:: The bad news is it will take actual, real time, not ""in-game time"".",50-64,65+
"Emojis are becoming punctuation marks. See, I can show you this sentence has a humorous tone😂",18-29,13-17
"Chevron across from Highland Baptist at night. So the other night I'm in there at around 9:30 PM on a Sunday. A gentleman was holding up the line, became belligerent, called the cashier ""Osama"" (he was Arabic looking) and said something about coming back and shooting him. I was horrified, but every other customer in there was laughing their asses off. And to be honest, I wasn't sure what to make of it because there was something that made me think the cashier knew the guy and they were just messing around. Maybe it was how casual everyone else in line was acting. I don't know. Anyway, I've been to this place several times before at night, and yea it's usually got a bunch of young black men hanging around. And while I'll admit I might have been slightly uncomfortable due to sterotypes/prejudice, I've never actually been anywhere closed to being scared. So I guess my question is, exactly how sketchy is this place now? Should it be avoided if at all possible?",65+,50-64
"Cant go to treatment I'll just keep bingeing until I give myself diabetes and heart disease and die fucking fat. The IOP program I was looking into (and spent 2 hours on the phone with someone) doesn't fit my work schedule so I can't go. You would think they would have gone over that part with me before taking a 2.5 hour history instead of just glossing over it saying ""ya you can do this program while working full time."" Well I don't know what kinda of dream fucking work schedule ppl in this program have but I work like a regular fucking adult. I'm so fucking HUGE and I can't stop eating. The only program I have left tells me I can expect a miracle from god to help me which is such bullshit. I'm committing here that I WILL skip either lunch or dinner everyday for the next week to jumpstart my diet. I just can't even recognize myself anymore with how hugely fat I am now.",30-49,18-29
"Will Jackass Forever.5 be released on blu-ray?. To preface this, I haven’t seen Jackass Forever yet as I didn’t get a chance to in theaters and waiting 2 weeks for the blu ray. Up to this point, 2.5, 3.5 and Bad Grandpa.5 (I think BG.5 was but I can’t really find a dvd of it. I can find eBay listings but not an actual case.) was released on dvd or blu ray and I have all of them, so I was wondering if you think or heard that it will be given that the blu ray for Jackass Forever will have 40 minutes of extra content. But also given that most of this bonus content seems to be going to Paramount Plus. I hope it will see a dvd release since my collection will feel light.",18-29,13-17
"Should I get a 2080 Ti even if I don't have a rig to put it in?. I want something that can run fairly high range games, and I'm running a GTX 1060 right now. With the 3000 series coming out now, (I think) the prices of the 2000 series is dropping. The 2080 Ti is going for about $350 right now on eBay, but I literally only have a gaming laptop right now, so I wouldn't be able to use it unless I buy a whole new setup sometime later. Is it a good idea to get the card now at this reduced price, and build my pc around it later? Or should I pick out the rest of the parts first and then decide what GPU to get? Thanks.",18-29,13-17
"How to track CTR for keywords?. 2020 is the year to step up my game. What happend in 2019? Loads of content was created and old content optimized. Results? We started to rank organically for more and more keywords. December gave us almost 5 times as much organic traffic as January did. Goal The goal is to increase the CTR. We have an average CTR of 3% according to Google search console. I'm not sure how bad this is, as there are many keywords we don't intend to rank for. I'm looking for a way to make a list of our keywords and keep track of them. With the .csv export that Google search console offers, it's hard to get a quick overview of the changes for the keywords we find important. If possible I want to divide our ranking keywords in 3 categories. Need to rank (with buying intend) Want to rank (possible buying intend and information) Nice to rank (additional keywords we don't really care about) Is there an easy way to do this?",18-29,30-49
"Need help from my BOTL! Looking for some hard to find cigars..... As mentioned in the title, I am looking for some hard to find cigars and need some help from my brothers. I am looking for some limited releases from Tatuaje, specifically the Red Verocu Tubos, their TAA 2011 release, the Mexican Experiment, or other limited releases. I am also looking for some of the rarer Liga Privada lines, such as Ratzilla or Velvet Rat, etc. I am open to a trade or purchasing the cigars. Some of the sticks I have to offer include: Liga Privada No. 9, T52, Undercrown, Dirty Rat, Feral Flying Pig, some assorted Tatuajes, Crowned Heads, Asylum, some Filthy Hooligans, and a bunch of random other ones. PM me or reply here if you're interested! Thanks!",65+,18-29
RDO dead eye is not working. I am at level 23 and my dead eye is not tagging enemies. I press RB but nothing. I noticed this long time ago But since I don’t use it so often I did not care but not I wanna be better at it?,30-49,50-64
